line_no, Core 0 lines , Core 1 lines
0 , 59 , 0
1 , 0 , 0
2 , 0 , 0
3 , 0 , 0
4 , 61 , 0
5 , 0 , 0
6 , 54 , 0
7 , 0 , 43
8 , 0 , 0
9 , 44 , 103
10 , 0 , 0
11 , 0 , 115
12 , 0 , 0
13 , 46 , 0
14 , 0 , 0
15 , 50 , 63
16 , 0 , 66
17 , 94 , 0
18 , 0 , 54
19 , 0 , 0
20 , 42 , 0
21 , 0 , 215
22 , 56 , 0
23 , 62 , 0
24 , 61 , 44
25 , 0 , 0
26 , 0 , 0
27 , 0 , 40
28 , 0 , 0
29 , 0 , 0
30 , 0 , 0
31 , 56 , 0
32 , 55 , 0
33 , 61 , 0
34 , 0 , 47
35 , 0 , 43
36 , 0 , 106
37 , 0 , 0
38 , 0 , 0
39 , 47 , 38
40 , 0 , 0
41 , 0 , 0
42 , 64 , 0
43 , 63 , 0
44 , 96 , 112
45 , 109 , 0
46 , 0 , 47
47 , 0 , 0
48 , 40 , 57
49 , 53 , 46
50 , 60 , 0
51 , 58 , 64
52 , 0 , 0
53 , 0 , 0
54 , 57 , 114
55 , 0 , 0
56 , 53 , 58
57 , 0 , 0
58 , 0 , 54
59 , 0 , 0
60 , 0 , 114
61 , 103 , 0
62 , 63 , 0
63 , 49 , 0
64 , 0 , 0
65 , 0 , 0
66 , 53 , 0
67 , 52 , 65
68 , 0 , 0
69 , 0 , 0
70 , 0 , 0
71 , 0 , 58
72 , 0 , 71
73 , 58 , 0
74 , 0 , 116
75 , 61 , 47
76 , 0 , 105
77 , 0 , 0
78 , 0 , 0
79 , 0 , 0
80 , 78 , 62
81 , 56 , 0
82 , 58 , 53
83 , 0 , 0
84 , 54 , 0
85 , 0 , 0
86 , 38 , 59
87 , 0 , 54
88 , 38 , 45
89 , 0 , 53
90 , 0 , 43
91 , 0 , 62
92 , 0 , 40
93 , 0 , 0
94 , 0 , 0
95 , 0 , 53
96 , 62 , 0
97 , 0 , 57
98 , 0 , 0
99 , 38 , 35
100 , 0 , 45
101 , 0 , 0
102 , 0 , 0
103 , 0 , 50
104 , 0 , 0
105 , 0 , 0
106 , 49 , 46
107 , 47 , 0
108 , 0 , 0
109 , 41 , 0
110 , 41 , 49
111 , 0 , 60
112 , 0 , 104
113 , 56 , 0
114 , 0 , 45
115 , 114 , 53
116 , 0 , 0
117 , 0 , 0
118 , 55 , 0
119 , 90 , 0
120 , 124 , 115
121 , 0 , 49
122 , 0 , 0
123 , 0 , 56
124 , 0 , 0
125 , 0 , 54
126 , 40 , 0
127 , 0 , 50
128 , 0 , 104
129 , 0 , 111
130 , 106 , 0
131 , 0 , 0
132 , 0 , 0
133 , 0 , 0
134 , 0 , 0
135 , 0 , 0
136 , 0 , 90
137 , 0 , 0
138 , 0 , 95
139 , 0 , 147
140 , 54 , 65
141 , 0 , 59
142 , 55 , 0
143 , 0 , 0
144 , 150 , 61
145 , 0 , 0
146 , 0 , 92
147 , 46 , 50
148 , 0 , 0
149 , 203 , 0
150 , 43 , 0
151 , 0 , 40
152 , 0 , 48
153 , 99 , 64
154 , 54 , 0
155 , 0 , 0
156 , 51 , 0
157 , 0 , 55
158 , 0 , 137
159 , 0 , 57
160 , 101 , 0
161 , 63 , 52
162 , 0 , 0
163 , 112 , 0
164 , 0 , 0
165 , 0 , 0
166 , 70 , 54
167 , 0 , 145
168 , 49 , 0
169 , 0 , 60
170 , 0 , 0
171 , 0 , 0
172 , 66 , 0
173 , 44 , 0
174 , 58 , 0
175 , 0 , 0
176 , 65 , 0
177 , 98 , 97
178 , 0 , 61
179 , 0 , 0
180 , 0 , 50
181 , 0 , 0
182 , 0 , 0
183 , 55 , 0
184 , 0 , 0
185 , 0 , 0
186 , 0 , 0
187 , 0 , 0
188 , 0 , 65
189 , 132 , 0
190 , 0 , 0
191 , 47 , 0
192 , 0 , 0
193 , 0 , 94
194 , 48 , 98
195 , 51 , 0
196 , 0 , 57
197 , 0 , 0
198 , 120 , 0
199 , 56 , 0
200 , 0 , 0
201 , 0 , 0
202 , 66 , 0
203 , 109 , 0
204 , 0 , 0
205 , 0 , 0
206 , 113 , 0
207 , 0 , 0
208 , 60 , 0
209 , 0 , 101
210 , 48 , 0
211 , 63 , 0
212 , 160 , 47
213 , 0 , 0
214 , 0 , 52
215 , 0 , 0
216 , 0 , 0
217 , 0 , 0
218 , 0 , 0
219 , 0 , 66
220 , 59 , 0
221 , 0 , 0
222 , 0 , 0
223 , 68 , 0
224 , 61 , 75
225 , 0 , 0
226 , 51 , 0
227 , 111 , 54
228 , 0 , 53
229 , 0 , 0
230 , 0 , 0
231 , 0 , 0
232 , 0 , 152
233 , 0 , 0
234 , 39 , 108
235 , 46 , 57
236 , 93 , 0
237 , 0 , 46
238 , 0 , 0
239 , 0 , 0
240 , 40 , 0
241 , 43 , 0
242 , 40 , 54
243 , 60 , 80
244 , 0 , 123
245 , 233 , 0
246 , 0 , 0
247 , 0 , 0
248 , 60 , 0
249 , 0 , 52
250 , 0 , 0
251 , 0 , 51
