line_no, Core 0 lines , Core 1 lines
0 , 246 , 0
1 , 0 , 0
2 , 0 , 0
3 , 0 , 0
4 , 347 , 0
5 , 0 , 0
6 , 168 , 0
7 , 0 , 297
8 , 0 , 0
9 , 184 , 356
10 , 0 , 0
11 , 0 , 587
12 , 0 , 0
13 , 292 , 0
14 , 0 , 0
15 , 284 , 272
16 , 0 , 293
17 , 496 , 0
18 , 0 , 262
19 , 0 , 0
20 , 258 , 0
21 , 0 , 973
22 , 287 , 0
23 , 248 , 0
24 , 267 , 245
25 , 0 , 0
26 , 0 , 0
27 , 0 , 292
28 , 0 , 0
29 , 0 , 0
30 , 0 , 0
31 , 325 , 0
32 , 335 , 0
33 , 281 , 0
34 , 0 , 368
35 , 0 , 249
36 , 0 , 425
37 , 0 , 0
38 , 0 , 0
39 , 305 , 355
40 , 0 , 0
41 , 0 , 0
42 , 175 , 0
43 , 318 , 0
44 , 607 , 572
45 , 742 , 0
46 , 0 , 251
47 , 0 , 0
48 , 236 , 259
49 , 220 , 314
50 , 262 , 0
51 , 197 , 250
52 , 0 , 0
53 , 0 , 0
54 , 282 , 526
55 , 0 , 0
56 , 334 , 374
57 , 0 , 0
58 , 0 , 341
59 , 0 , 0
60 , 0 , 482
61 , 514 , 0
62 , 230 , 0
63 , 312 , 0
64 , 0 , 0
65 , 0 , 0
66 , 223 , 0
67 , 303 , 316
68 , 0 , 0
69 , 0 , 0
70 , 0 , 0
71 , 0 , 257
72 , 0 , 172
73 , 314 , 0
74 , 0 , 535
75 , 314 , 220
76 , 0 , 464
77 , 0 , 0
78 , 0 , 0
79 , 0 , 0
80 , 304 , 383
81 , 295 , 0
82 , 243 , 268
83 , 0 , 0
84 , 330 , 0
85 , 0 , 0
86 , 265 , 318
87 , 0 , 253
88 , 313 , 248
89 , 0 , 358
90 , 0 , 376
91 , 0 , 292
92 , 0 , 243
93 , 0 , 0
94 , 0 , 0
95 , 0 , 306
96 , 383 , 0
97 , 0 , 274
98 , 0 , 0
99 , 287 , 240
100 , 0 , 273
101 , 0 , 0
102 , 0 , 0
103 , 0 , 279
104 , 0 , 0
105 , 0 , 0
106 , 221 , 394
107 , 307 , 0
108 , 0 , 0
109 , 230 , 0
110 , 285 , 268
111 , 0 , 199
112 , 0 , 686
113 , 172 , 0
114 , 0 , 194
115 , 561 , 303
116 , 0 , 0
117 , 0 , 0
118 , 221 , 0
119 , 738 , 0
120 , 658 , 568
121 , 0 , 224
122 , 0 , 0
123 , 0 , 244
124 , 0 , 0
125 , 0 , 277
126 , 261 , 0
127 , 0 , 247
128 , 0 , 617
129 , 0 , 556
130 , 557 , 0
131 , 0 , 0
132 , 0 , 0
133 , 0 , 0
134 , 0 , 0
135 , 0 , 0
136 , 0 , 567
137 , 0 , 0
138 , 0 , 510
139 , 0 , 707
140 , 197 , 237
141 , 0 , 241
142 , 199 , 0
143 , 0 , 0
144 , 771 , 293
145 , 0 , 0
146 , 0 , 685
147 , 139 , 236
148 , 0 , 0
149 , 1124 , 0
150 , 333 , 0
151 , 0 , 280
152 , 0 , 358
153 , 633 , 269
154 , 267 , 0
155 , 0 , 0
156 , 198 , 0
157 , 0 , 227
158 , 0 , 1005
159 , 0 , 321
160 , 558 , 0
161 , 322 , 199
162 , 0 , 0
163 , 570 , 0
164 , 0 , 0
165 , 0 , 0
166 , 391 , 243
167 , 0 , 858
168 , 240 , 0
169 , 0 , 184
170 , 0 , 0
171 , 0 , 0
172 , 244 , 0
173 , 214 , 0
174 , 222 , 0
175 , 0 , 0
176 , 325 , 0
177 , 619 , 524
178 , 0 , 204
179 , 0 , 0
180 , 0 , 188
181 , 0 , 0
182 , 0 , 0
183 , 216 , 0
184 , 0 , 0
185 , 0 , 0
186 , 0 , 0
187 , 0 , 0
188 , 0 , 207
189 , 657 , 0
190 , 0 , 0
191 , 261 , 0
192 , 0 , 0
193 , 0 , 436
194 , 235 , 545
195 , 219 , 0
196 , 0 , 164
197 , 0 , 0
198 , 529 , 0
199 , 287 , 0
200 , 0 , 0
201 , 0 , 0
202 , 241 , 0
203 , 597 , 0
204 , 0 , 0
205 , 0 , 0
206 , 598 , 0
207 , 0 , 0
208 , 255 , 0
209 , 0 , 618
210 , 272 , 0
211 , 213 , 0
212 , 805 , 303
213 , 0 , 0
214 , 0 , 272
