line_no, Core 0 lines , Core 1 lines
0 , 57 , 0
1 , 0 , 0
2 , 0 , 0
3 , 0 , 0
4 , 83 , 0
5 , 0 , 0
6 , 81 , 0
7 , 0 , 85
8 , 0 , 0
9 , 95 , 199
10 , 0 , 0
11 , 0 , 197
12 , 0 , 0
13 , 71 , 0
14 , 0 , 0
15 , 106 , 74
16 , 0 , 95
17 , 121 , 0
18 , 0 , 96
19 , 0 , 0
20 , 94 , 0
21 , 0 , 360
22 , 82 , 0
23 , 96 , 0
24 , 58 , 121
25 , 0 , 0
26 , 0 , 0
27 , 0 , 94
28 , 0 , 0
29 , 0 , 0
30 , 0 , 0
31 , 60 , 0
32 , 70 , 0
33 , 94 , 0
34 , 0 , 77
35 , 0 , 83
36 , 0 , 155
37 , 0 , 0
38 , 0 , 0
39 , 97 , 73
40 , 0 , 0
41 , 0 , 0
42 , 95 , 0
43 , 96 , 0
44 , 219 , 199
45 , 165 , 0
46 , 0 , 104
47 , 0 , 0
48 , 78 , 80
49 , 112 , 122
50 , 80 , 0
51 , 90 , 93
52 , 0 , 0
53 , 0 , 0
54 , 111 , 197
55 , 0 , 0
56 , 100 , 87
57 , 0 , 0
58 , 0 , 87
59 , 0 , 0
60 , 0 , 197
61 , 184 , 0
62 , 126 , 0
63 , 96 , 0
64 , 0 , 0
65 , 0 , 0
66 , 120 , 0
67 , 89 , 111
68 , 0 , 0
69 , 0 , 0
70 , 0 , 0
71 , 0 , 115
72 , 0 , 83
73 , 93 , 0
74 , 0 , 187
75 , 102 , 118
76 , 0 , 177
77 , 0 , 0
78 , 0 , 0
79 , 0 , 0
80 , 109 , 54
81 , 79 , 0
82 , 95 , 81
83 , 0 , 0
84 , 84 , 0
85 , 0 , 0
86 , 76 , 77
87 , 0 , 123
88 , 91 , 124
89 , 0 , 70
90 , 0 , 92
91 , 0 , 65
92 , 0 , 106
93 , 0 , 0
94 , 0 , 0
95 , 0 , 85
96 , 112 , 0
97 , 0 , 74
98 , 0 , 0
99 , 73 , 95
100 , 0 , 84
101 , 0 , 0
102 , 0 , 0
103 , 0 , 87
104 , 0 , 0
105 , 0 , 0
106 , 118 , 75
107 , 88 , 0
108 , 0 , 0
109 , 98 , 0
110 , 100 , 114
111 , 0 , 108
112 , 0 , 195
113 , 90 , 0
114 , 0 , 83
115 , 188 , 100
116 , 0 , 0
117 , 0 , 0
118 , 53 , 0
119 , 179 , 0
120 , 157 , 174
121 , 0 , 141
122 , 0 , 0
123 , 0 , 78
124 , 0 , 0
125 , 0 , 126
126 , 91 , 0
127 , 0 , 80
128 , 0 , 143
129 , 0 , 229
130 , 161 , 0
131 , 0 , 0
132 , 0 , 0
133 , 0 , 0
134 , 0 , 0
135 , 0 , 0
136 , 0 , 208
137 , 0 , 0
138 , 0 , 91
139 , 0 , 271
140 , 90 , 113
141 , 0 , 98
142 , 81 , 0
143 , 0 , 0
144 , 309 , 89
145 , 0 , 0
146 , 0 , 160
147 , 90 , 131
148 , 0 , 0
149 , 366 , 0
150 , 100 , 0
151 , 0 , 99
152 , 0 , 82
153 , 179 , 128
154 , 107 , 0
155 , 0 , 0
156 , 82 , 0
157 , 0 , 88
158 , 0 , 293
159 , 0 , 70
160 , 160 , 0
161 , 89 , 111
162 , 0 , 0
163 , 174 , 0
164 , 0 , 0
165 , 0 , 0
166 , 115 , 81
167 , 0 , 246
168 , 91 , 0
169 , 0 , 116
170 , 0 , 0
171 , 0 , 0
172 , 114 , 0
173 , 85 , 0
174 , 45 , 0
175 , 0 , 0
176 , 114 , 0
177 , 155 , 199
178 , 0 , 90
179 , 0 , 0
180 , 0 , 86
181 , 0 , 0
182 , 0 , 0
183 , 85 , 0
184 , 0 , 0
185 , 0 , 0
186 , 0 , 0
187 , 0 , 0
188 , 0 , 127
189 , 199 , 0
190 , 0 , 0
191 , 84 , 0
192 , 0 , 0
193 , 0 , 166
194 , 78 , 204
195 , 94 , 0
196 , 0 , 75
197 , 0 , 0
198 , 138 , 0
199 , 144 , 0
200 , 0 , 0
201 , 0 , 0
202 , 98 , 0
203 , 139 , 0
204 , 0 , 0
205 , 0 , 0
206 , 191 , 0
207 , 0 , 0
208 , 101 , 0
209 , 0 , 143
210 , 76 , 0
211 , 117 , 0
212 , 246 , 80
213 , 0 , 0
214 , 0 , 77
215 , 0 , 0
216 , 0 , 0
217 , 0 , 0
218 , 0 , 0
219 , 0 , 91
220 , 82 , 0
221 , 0 , 0
222 , 0 , 0
223 , 140 , 0
224 , 104 , 118
225 , 0 , 0
226 , 94 , 0
227 , 207 , 89
228 , 0 , 103
229 , 0 , 0
230 , 0 , 0
231 , 0 , 0
232 , 0 , 283
233 , 0 , 0
234 , 77 , 158
235 , 77 , 91
236 , 185 , 0
237 , 0 , 74
238 , 0 , 0
239 , 0 , 0
240 , 90 , 0
241 , 95 , 0
242 , 89 , 139
243 , 107 , 131
244 , 0 , 236
245 , 438 , 0
246 , 0 , 0
247 , 0 , 0
248 , 85 , 0
249 , 0 , 77
250 , 0 , 0
251 , 0 , 69
252 , 101 , 0
253 , 0 , 0
254 , 0 , 100
255 , 68 , 0
256 , 0 , 0
257 , 179 , 0
258 , 75 , 0
259 , 0 , 66
260 , 178 , 0
261 , 0 , 0
262 , 0 , 0
263 , 0 , 0
264 , 0 , 0
265 , 116 , 139
266 , 0 , 0
267 , 0 , 0
268 , 62 , 73
269 , 104 , 0
270 , 0 , 0
