line_no, Core 0 lines , Core 1 lines
0 , 0 , 0
1 , 0 , 0
2 , 0 , 0
3 , 0 , 0
4 , 0 , 0
5 , 294 , 477
6 , 0 , 0
7 , 0 , 282
8 , 0 , 0
9 , 297 , 0
10 , 0 , 0
11 , 0 , 593
12 , 0 , 0
13 , 0 , 0
14 , 0 , 0
15 , 0 , 0
16 , 0 , 291
17 , 578 , 0
18 , 0 , 279
19 , 0 , 0
20 , 0 , 0
21 , 0 , 265
22 , 0 , 0
23 , 0 , 0
24 , 250 , 0
25 , 0 , 0
26 , 0 , 0
27 , 0 , 0
28 , 0 , 0
29 , 0 , 0
30 , 0 , 0
31 , 239 , 0
32 , 0 , 0
33 , 0 , 0
34 , 0 , 0
35 , 0 , 0
36 , 0 , 253
37 , 0 , 0
38 , 0 , 0
39 , 316 , 223
40 , 0 , 0
41 , 0 , 0
42 , 242 , 0
43 , 256 , 0
44 , 328 , 264
45 , 327 , 0
46 , 0 , 0
47 , 0 , 0
48 , 281 , 315
49 , 300 , 305
50 , 241 , 0
51 , 270 , 0
52 , 0 , 0
53 , 0 , 275
54 , 0 , 0
55 , 0 , 0
56 , 368 , 0
57 , 0 , 0
58 , 0 , 0
59 , 0 , 0
60 , 0 , 289
61 , 257 , 0
62 , 169 , 0
63 , 0 , 0
64 , 0 , 0
65 , 0 , 0
66 , 332 , 0
67 , 0 , 262
68 , 0 , 0
69 , 284 , 310
70 , 0 , 0
71 , 0 , 0
72 , 0 , 0
73 , 278 , 0
74 , 0 , 329
75 , 325 , 368
76 , 0 , 717
77 , 0 , 0
78 , 0 , 0
79 , 0 , 0
80 , 0 , 186
81 , 382 , 0
82 , 246 , 236
83 , 0 , 0
84 , 0 , 0
85 , 0 , 0
86 , 0 , 0
87 , 0 , 305
88 , 190 , 286
89 , 0 , 268
90 , 0 , 0
91 , 0 , 273
92 , 0 , 328
93 , 0 , 0
94 , 0 , 0
95 , 0 , 0
96 , 0 , 0
97 , 0 , 0
98 , 0 , 0
99 , 0 , 0
100 , 0 , 0
101 , 0 , 0
102 , 0 , 0
103 , 0 , 260
104 , 0 , 0
105 , 0 , 0
106 , 0 , 0
107 , 0 , 0
108 , 0 , 0
109 , 273 , 0
110 , 197 , 0
111 , 0 , 258
112 , 0 , 242
113 , 0 , 0
114 , 0 , 0
115 , 612 , 0
116 , 0 , 0
117 , 0 , 0
118 , 0 , 0
119 , 0 , 0
120 , 0 , 0
121 , 0 , 0
122 , 0 , 0
123 , 0 , 265
124 , 0 , 0
125 , 0 , 191
126 , 293 , 0
127 , 0 , 268
128 , 0 , 234
129 , 0 , 629
130 , 686 , 0
131 , 0 , 0
132 , 0 , 0
133 , 0 , 0
134 , 0 , 0
135 , 0 , 0
136 , 0 , 661
137 , 0 , 0
138 , 0 , 533
139 , 0 , 575
140 , 0 , 335
141 , 0 , 352
142 , 0 , 0
143 , 0 , 0
144 , 531 , 0
145 , 0 , 0
146 , 0 , 610
147 , 0 , 0
148 , 0 , 0
149 , 266 , 0
150 , 0 , 0
151 , 0 , 255
152 , 0 , 263
153 , 241 , 0
154 , 338 , 0
155 , 0 , 0
156 , 309 , 0
157 , 0 , 345
158 , 0 , 297
159 , 0 , 0
160 , 240 , 0
161 , 0 , 0
162 , 0 , 0
163 , 510 , 0
164 , 0 , 0
165 , 0 , 0
166 , 0 , 0
167 , 0 , 258
168 , 0 , 0
169 , 0 , 0
170 , 0 , 0
171 , 0 , 0
172 , 236 , 0
173 , 0 , 0
174 , 0 , 0
175 , 0 , 0
176 , 303 , 0
177 , 242 , 298
178 , 0 , 0
179 , 0 , 0
180 , 0 , 246
181 , 0 , 0
182 , 0 , 0
183 , 0 , 0
184 , 0 , 0
185 , 0 , 0
186 , 0 , 0
187 , 0 , 0
188 , 0 , 0
189 , 551 , 0
190 , 0 , 0
191 , 0 , 0
192 , 0 , 0
193 , 0 , 270
194 , 0 , 0
195 , 0 , 0
196 , 0 , 0
197 , 258 , 0
198 , 0 , 0
199 , 305 , 0
200 , 0 , 0
201 , 0 , 0
202 , 0 , 0
203 , 0 , 0
204 , 0 , 0
205 , 0 , 0
206 , 572 , 0
207 , 0 , 0
208 , 268 , 0
209 , 0 , 0
210 , 0 , 0
211 , 331 , 0
212 , 246 , 0
213 , 0 , 283
214 , 0 , 0
215 , 0 , 0
216 , 0 , 0
217 , 0 , 0
218 , 0 , 0
219 , 0 , 280
220 , 0 , 0
221 , 0 , 0
222 , 0 , 0
223 , 0 , 0
224 , 0 , 333
225 , 0 , 0
226 , 0 , 0
227 , 576 , 271
228 , 0 , 398
229 , 0 , 320
230 , 0 , 0
231 , 0 , 0
232 , 0 , 541
233 , 0 , 0
234 , 281 , 537
235 , 0 , 381
236 , 646 , 0
237 , 0 , 0
238 , 0 , 0
239 , 0 , 0
240 , 211 , 0
241 , 267 , 0
242 , 0 , 0
243 , 462 , 272
244 , 0 , 300
245 , 283 , 0
246 , 0 , 0
247 , 0 , 0
248 , 0 , 0
249 , 0 , 0
250 , 0 , 0
251 , 0 , 213
252 , 332 , 0
253 , 0 , 0
254 , 0 , 0
255 , 0 , 0
256 , 0 , 0
257 , 0 , 0
258 , 0 , 0
259 , 0 , 336
260 , 382 , 0
261 , 0 , 0
262 , 0 , 0
263 , 0 , 0
264 , 0 , 0
265 , 313 , 339
266 , 0 , 0
267 , 0 , 0
268 , 0 , 345
269 , 403 , 0
270 , 0 , 0
271 , 0 , 276
272 , 0 , 294
273 , 0 , 0
274 , 0 , 0
275 , 313 , 0
276 , 324 , 0
277 , 0 , 0
278 , 0 , 0
279 , 0 , 0
280 , 0 , 0
281 , 0 , 215
282 , 0 , 0
283 , 0 , 0
284 , 0 , 187
285 , 0 , 259
286 , 0 , 315
287 , 0 , 0
288 , 358 , 0
289 , 256 , 267
290 , 301 , 0
291 , 478 , 0
292 , 329 , 0
293 , 242 , 0
294 , 0 , 0
295 , 0 , 0
296 , 0 , 0
297 , 270 , 0
298 , 0 , 0
299 , 0 , 0
300 , 533 , 0
301 , 0 , 0
302 , 0 , 0
303 , 208 , 0
304 , 0 , 0
305 , 285 , 0
306 , 0 , 0
307 , 0 , 0
308 , 0 , 0
309 , 0 , 0
310 , 0 , 0
311 , 0 , 0
312 , 0 , 0
313 , 0 , 0
314 , 0 , 0
315 , 0 , 354
316 , 0 , 0
317 , 0 , 0
318 , 263 , 0
319 , 0 , 0
320 , 0 , 1090
321 , 522 , 0
322 , 0 , 0
323 , 0 , 0
324 , 815 , 342
325 , 270 , 0
326 , 0 , 0
327 , 0 , 0
328 , 0 , 0
329 , 0 , 0
330 , 0 , 333
331 , 0 , 0
332 , 0 , 0
333 , 0 , 0
334 , 0 , 0
335 , 0 , 292
336 , 0 , 0
337 , 0 , 0
338 , 383 , 0
339 , 0 , 0
340 , 0 , 296
