line_no, Core 0 lines , Core 1 lines
0 , 26 , 36
1 , 17 , 0
2 , 0 , 0
3 , 0 , 42
4 , 122 , 0
5 , 0 , 0
6 , 146 , 0
7 , 0 , 89
8 , 42 , 26
9 , 87 , 150
10 , 55 , 0
11 , 28 , 92
12 , 47 , 0
13 , 75 , 0
14 , 0 , 0
15 , 0 , 0
16 , 0 , 37
17 , 91 , 53
18 , 0 , 82
19 , 37 , 0
20 , 79 , 0
21 , 0 , 0
22 , 64 , 43
23 , 49 , 0
24 , 159 , 54
25 , 68 , 0
26 , 51 , 41
27 , 0 , 85
28 , 0 , 92
29 , 0 , 53
30 , 85 , 7
31 , 0 , 0
32 , 165 , 66
33 , 67 , 54
34 , 0 , 44
35 , 62 , 60
36 , 58 , 103
37 , 0 , 0
38 , 0 , 0
39 , 58 , 109
40 , 0 , 0
41 , 0 , 0
42 , 103 , 0
43 , 137 , 0
44 , 123 , 88
45 , 69 , 54
46 , 38 , 81
47 , 0 , 0
48 , 44 , 47
49 , 79 , 92
50 , 30 , 36
51 , 162 , 40
52 , 34 , 54
53 , 0 , 0
54 , 41 , 102
55 , 47 , 0
56 , 42 , 43
57 , 0 , 82
58 , 0 , 46
59 , 0 , 56
60 , 0 , 103
61 , 76 , 56
62 , 127 , 81
63 , 0 , 0
64 , 175 , 47
65 , 0 , 0
66 , 88 , 0
67 , 42 , 31
68 , 0 , 41
69 , 0 , 0
70 , 36 , 36
71 , 65 , 59
72 , 0 , 91
73 , 34 , 0
74 , 58 , 138
75 , 78 , 29
76 , 44 , 92
77 , 0 , 0
78 , 106 , 0
79 , 0 , 0
80 , 63 , 36
81 , 66 , 0
82 , 59 , 50
83 , 0 , 0
84 , 44 , 47
85 , 0 , 0
86 , 67 , 87
87 , 0 , 138
88 , 16 , 122
89 , 39 , 48
90 , 129 , 108
91 , 0 , 36
92 , 0 , 75
93 , 0 , 0
94 , 0 , 0
95 , 0 , 0
96 , 20 , 38
97 , 32 , 76
98 , 48 , 33
99 , 41 , 147
100 , 101 , 93
101 , 0 , 0
102 , 0 , 47
103 , 0 , 39
104 , 0 , 133
105 , 0 , 43
106 , 88 , 59
107 , 18 , 62
108 , 106 , 0
109 , 35 , 47
110 , 57 , 27
111 , 0 , 0
112 , 54 , 89
113 , 43 , 0
114 , 0 , 42
115 , 70 , 72
116 , 0 , 47
117 , 0 , 0
118 , 49 , 158
119 , 151 , 0
120 , 217 , 106
121 , 0 , 139
122 , 41 , 42
123 , 0 , 93
124 , 39 , 47
125 , 0 , 81
126 , 49 , 0
127 , 0 , 0
128 , 0 , 70
129 , 24 , 90
130 , 107 , 0
131 , 47 , 28
132 , 0 , 0
133 , 0 , 0
134 , 28 , 56
135 , 41 , 0
136 , 34 , 88
137 , 0 , 0
138 , 0 , 47
139 , 60 , 174
140 , 48 , 168
141 , 0 , 47
142 , 48 , 107
143 , 0 , 0
144 , 193 , 44
145 , 0 , 46
146 , 0 , 44
147 , 36 , 43
148 , 0 , 0
149 , 0 , 0
150 , 27 , 37
151 , 0 , 41
152 , 0 , 73
153 , 123 , 40
154 , 46 , 59
155 , 0 , 0
156 , 37 , 86
157 , 40 , 73
158 , 58 , 107
159 , 0 , 0
160 , 87 , 0
161 , 42 , 150
162 , 0 , 75
163 , 65 , 0
164 , 46 , 38
165 , 0 , 0
166 , 99 , 42
167 , 0 , 164
168 , 32 , 0
169 , 0 , 140
170 , 0 , 0
171 , 0 , 0
172 , 43 , 53
173 , 50 , 67
174 , 31 , 0
175 , 0 , 0
176 , 91 , 52
177 , 83 , 70
178 , 0 , 35
179 , 0 , 40
180 , 0 , 104
181 , 0 , 0
182 , 0 , 32
183 , 49 , 210
184 , 0 , 87
185 , 36 , 0
186 , 41 , 46
187 , 60 , 0
188 , 0 , 54
189 , 97 , 0
