line_no, Core 0 lines , Core 1 lines
0 , 57 , 38
1 , 45 , 64
2 , 63 , 0
3 , 48 , 85
4 , 283 , 0
5 , 102 , 170
6 , 117 , 46
7 , 0 , 82
8 , 83 , 113
9 , 109 , 108
10 , 38 , 176
11 , 103 , 109
12 , 12 , 0
13 , 191 , 0
14 , 63 , 108
15 , 82 , 115
16 , 62 , 32
17 , 94 , 43
18 , 26 , 47
19 , 79 , 0
20 , 148 , 0
21 , 35 , 77
22 , 115 , 66
23 , 113 , 0
24 , 142 , 23
25 , 245 , 0
26 , 34 , 87
27 , 0 , 73
28 , 60 , 50
29 , 0 , 77
30 , 139 , 53
31 , 24 , 0
32 , 126 , 105
33 , 36 , 17
34 , 0 , 117
35 , 149 , 103
36 , 84 , 147
37 , 0 , 35
38 , 0 , 0
39 , 67 , 134
40 , 0 , 0
41 , 21 , 14
42 , 48 , 27
43 , 163 , 23
44 , 131 , 99
45 , 147 , 67
46 , 121 , 88
47 , 132 , 102
48 , 102 , 38
49 , 98 , 62
50 , 58 , 63
51 , 154 , 109
52 , 57 , 159
53 , 42 , 20
54 , 45 , 104
55 , 83 , 42
56 , 160 , 49
57 , 65 , 143
58 , 31 , 28
59 , 0 , 18
60 , 91 , 61
61 , 174 , 72
62 , 109 , 163
63 , 79 , 0
64 , 245 , 48
65 , 91 , 0
66 , 104 , 36
67 , 29 , 65
68 , 0 , 79
69 , 68 , 111
70 , 31 , 85
71 , 74 , 49
72 , 0 , 85
73 , 41 , 0
74 , 53 , 206
75 , 310 , 33
76 , 83 , 99
77 , 0 , 0
78 , 117 , 32
79 , 0 , 63
80 , 86 , 99
81 , 62 , 131
82 , 34 , 66
83 , 25 , 0
84 , 59 , 64
85 , 71 , 0
86 , 79 , 178
87 , 169 , 162
88 , 49 , 118
89 , 123 , 92
90 , 141 , 72
91 , 46 , 110
92 , 51 , 86
93 , 0 , 0
94 , 26 , 59
95 , 0 , 109
96 , 89 , 75
97 , 77 , 62
98 , 71 , 28
99 , 49 , 157
100 , 133 , 152
101 , 119 , 0
102 , 29 , 61
103 , 45 , 53
104 , 108 , 139
105 , 23 , 96
106 , 87 , 82
107 , 74 , 105
108 , 121 , 37
109 , 77 , 45
110 , 111 , 22
111 , 0 , 47
112 , 45 , 145
113 , 44 , 76
114 , 50 , 131
115 , 127 , 86
116 , 0 , 79
117 , 83 , 0
118 , 33 , 242
119 , 164 , 0
120 , 142 , 101
121 , 94 , 115
122 , 35 , 35
123 , 43 , 99
124 , 13 , 180
125 , 0 , 173
126 , 84 , 0
127 , 56 , 144
128 , 0 , 145
129 , 162 , 183
130 , 136 , 36
131 , 60 , 81
132 , 0 , 0
133 , 27 , 62
134 , 120 , 89
135 , 50 , 0
136 , 65 , 63
137 , 51 , 21
138 , 62 , 107
139 , 131 , 115
140 , 106 , 147
141 , 0 , 59
142 , 36 , 169
143 , 37 , 78
144 , 136 , 53
145 , 28 , 66
146 , 0 , 177
147 , 81 , 48
148 , 0 , 0
149 , 264 , 0
150 , 43 , 33
151 , 22 , 26
152 , 0 , 159
153 , 119 , 73
154 , 42 , 55
155 , 0 , 0
156 , 44 , 73
157 , 62 , 172
158 , 18 , 230
159 , 113 , 127
160 , 125 , 0
161 , 113 , 148
162 , 146 , 161
163 , 119 , 34
164 , 43 , 64
165 , 66 , 100
166 , 56 , 39
167 , 153 , 123
168 , 25 , 101
169 , 0 , 241
170 , 71 , 0
171 , 0 , 94
172 , 72 , 33
173 , 104 , 161
174 , 132 , 91
175 , 118 , 57
176 , 219 , 65
177 , 177 , 149
178 , 121 , 72
179 , 0 , 32
180 , 0 , 203
181 , 192 , 0
182 , 21 , 74
183 , 43 , 199
184 , 35 , 205
185 , 24 , 28
186 , 120 , 173
187 , 53 , 159
188 , 0 , 32
189 , 196 , 0
190 , 57 , 0
191 , 132 , 127
192 , 23 , 69
193 , 19 , 151
194 , 62 , 116
195 , 105 , 87
196 , 178 , 74
197 , 34 , 123
198 , 96 , 33
199 , 96 , 76
200 , 69 , 82
201 , 0 , 0
202 , 97 , 37
203 , 94 , 58
204 , 0 , 102
205 , 90 , 0
206 , 101 , 136
207 , 0 , 46
208 , 34 , 86
209 , 46 , 144
210 , 120 , 50
211 , 63 , 121
212 , 261 , 89
213 , 18 , 61
214 , 20 , 123
215 , 155 , 0
216 , 105 , 0
217 , 0 , 33
218 , 0 , 0
219 , 30 , 133
220 , 101 , 0
221 , 0 , 0
222 , 111 , 82
223 , 48 , 37
224 , 41 , 111
225 , 0 , 0
226 , 111 , 0
227 , 160 , 104
228 , 0 , 96
229 , 33 , 65
230 , 57 , 105
231 , 63 , 27
232 , 0 , 188
233 , 57 , 0
234 , 122 , 99
235 , 29 , 160
236 , 89 , 106
237 , 0 , 162
238 , 61 , 62
239 , 80 , 128
240 , 210 , 143
241 , 24 , 34
242 , 27 , 61
243 , 151 , 43
244 , 0 , 148
245 , 220 , 49
246 , 0 , 78
247 , 32 , 25
248 , 115 , 39
249 , 85 , 179
250 , 26 , 29
251 , 0 , 124
252 , 31 , 45
253 , 44 , 0
254 , 183 , 73
255 , 117 , 0
256 , 0 , 25
257 , 234 , 136
258 , 189 , 0
259 , 83 , 94
260 , 204 , 124
261 , 26 , 73
262 , 0 , 113
263 , 26 , 27
264 , 53 , 209
265 , 41 , 136
266 , 55 , 90
267 , 0 , 27
268 , 59 , 70
269 , 76 , 52
270 , 0 , 0
271 , 90 , 124
272 , 34 , 136
273 , 136 , 0
274 , 0 , 0
275 , 37 , 64
276 , 164 , 0
277 , 77 , 71
278 , 0 , 0
279 , 12 , 78
280 , 118 , 43
281 , 109 , 41
282 , 153 , 33
283 , 123 , 74
284 , 94 , 136
285 , 0 , 64
286 , 168 , 21
287 , 45 , 143
288 , 164 , 0
289 , 152 , 232
290 , 182 , 52
291 , 104 , 130
292 , 145 , 60
293 , 204 , 63
294 , 69 , 124
295 , 82 , 35
296 , 112 , 101
297 , 216 , 74
298 , 78 , 46
299 , 31 , 100
300 , 125 , 47
301 , 0 , 0
302 , 49 , 0
303 , 38 , 126
304 , 29 , 47
305 , 61 , 36
306 , 20 , 23
307 , 112 , 40
308 , 82 , 98
309 , 56 , 49
310 , 95 , 27
311 , 251 , 67
312 , 19 , 267
313 , 0 , 14
314 , 34 , 115
315 , 198 , 96
316 , 59 , 128
317 , 78 , 86
318 , 51 , 107
319 , 93 , 108
320 , 0 , 185
321 , 113 , 0
322 , 105 , 201
323 , 26 , 58
324 , 292 , 183
325 , 144 , 0
326 , 0 , 0
327 , 119 , 36
328 , 75 , 0
329 , 0 , 98
330 , 0 , 106
331 , 19 , 145
332 , 44 , 88
333 , 74 , 66
334 , 0 , 35
335 , 0 , 49
336 , 56 , 67
337 , 37 , 112
338 , 168 , 21
339 , 0 , 0
340 , 0 , 52
341 , 36 , 0
342 , 175 , 182
343 , 0 , 28
344 , 72 , 0
345 , 0 , 118
346 , 62 , 69
347 , 105 , 67
348 , 75 , 30
349 , 155 , 0
350 , 64 , 118
351 , 29 , 243
352 , 36 , 132
353 , 29 , 0
354 , 0 , 76
355 , 120 , 111
356 , 73 , 58
357 , 52 , 159
358 , 102 , 112
359 , 0 , 0
360 , 52 , 48
361 , 51 , 39
362 , 0 , 116
363 , 69 , 78
364 , 67 , 31
365 , 83 , 81
366 , 25 , 31
367 , 109 , 30
368 , 69 , 66
369 , 58 , 77
370 , 73 , 74
371 , 0 , 78
372 , 0 , 79
373 , 37 , 81
374 , 125 , 46
375 , 23 , 0
376 , 34 , 0
377 , 86 , 126
378 , 0 , 67
379 , 29 , 105
380 , 118 , 120
381 , 0 , 65
382 , 0 , 0
383 , 17 , 118
384 , 55 , 0
385 , 55 , 171
386 , 0 , 116
387 , 182 , 122
388 , 76 , 68
389 , 169 , 82
390 , 0 , 55
391 , 0 , 0
392 , 0 , 145
393 , 148 , 89
394 , 70 , 89
395 , 96 , 194
396 , 51 , 55
397 , 98 , 0
398 , 60 , 90
399 , 188 , 0
400 , 168 , 34
401 , 0 , 71
402 , 138 , 75
403 , 223 , 91
404 , 82 , 86
405 , 62 , 271
406 , 157 , 117
407 , 82 , 160
408 , 132 , 95
409 , 118 , 106
410 , 120 , 44
411 , 149 , 109
412 , 70 , 0
413 , 80 , 163
414 , 71 , 41
415 , 29 , 83
416 , 112 , 93
417 , 113 , 185
418 , 105 , 137
419 , 53 , 38
420 , 96 , 173
421 , 0 , 79
422 , 87 , 83
423 , 141 , 0
424 , 109 , 176
425 , 78 , 52
426 , 0 , 131
427 , 112 , 250
428 , 79 , 121
429 , 207 , 87
430 , 0 , 107
431 , 0 , 26
432 , 33 , 56
433 , 95 , 105
434 , 123 , 0
435 , 101 , 113
436 , 67 , 0
437 , 0 , 0
438 , 163 , 52
439 , 0 , 64
440 , 0 , 127
441 , 129 , 143
442 , 35 , 79
443 , 22 , 62
444 , 0 , 87
445 , 234 , 0
446 , 68 , 0
447 , 46 , 0
448 , 42 , 133
449 , 135 , 46
450 , 103 , 76
451 , 111 , 50
452 , 57 , 0
453 , 89 , 92
454 , 0 , 101
455 , 184 , 59
456 , 0 , 22
457 , 224 , 210
458 , 45 , 61
459 , 168 , 44
460 , 60 , 66
461 , 0 , 0
462 , 163 , 24
463 , 37 , 66
464 , 103 , 104
465 , 130 , 115
466 , 37 , 155
467 , 151 , 38
468 , 57 , 74
469 , 23 , 93
470 , 120 , 60
471 , 33 , 0
472 , 107 , 36
473 , 34 , 49
474 , 200 , 161
475 , 63 , 0
476 , 74 , 99
477 , 227 , 224
478 , 34 , 0
479 , 84 , 26
480 , 30 , 56
481 , 201 , 73
482 , 32 , 136
483 , 49 , 52
484 , 137 , 146
485 , 80 , 88
