line_no, Core 0 lines , Core 1 lines
0 , 26 , 9
1 , 19 , 15
2 , 12 , 0
3 , 19 , 30
4 , 76 , 0
5 , 30 , 55
6 , 54 , 14
7 , 0 , 35
8 , 33 , 46
9 , 32 , 44
10 , 14 , 52
11 , 31 , 49
12 , 7 , 0
13 , 41 , 0
14 , 23 , 36
15 , 24 , 41
16 , 24 , 7
17 , 30 , 13
18 , 9 , 30
19 , 32 , 0
20 , 47 , 0
21 , 15 , 31
22 , 41 , 23
23 , 26 , 0
24 , 58 , 14
25 , 84 , 0
26 , 9 , 22
27 , 0 , 21
28 , 20 , 25
29 , 0 , 22
30 , 32 , 9
31 , 17 , 0
32 , 55 , 15
33 , 11 , 11
34 , 0 , 48
35 , 35 , 47
36 , 32 , 53
37 , 0 , 12
38 , 0 , 0
39 , 21 , 37
40 , 0 , 0
41 , 6 , 10
42 , 26 , 9
43 , 61 , 15
44 , 44 , 38
45 , 64 , 22
46 , 40 , 37
47 , 51 , 29
48 , 31 , 12
49 , 51 , 18
50 , 7 , 36
51 , 65 , 27
52 , 16 , 49
53 , 14 , 11
54 , 12 , 43
55 , 18 , 18
56 , 29 , 22
57 , 22 , 54
58 , 13 , 7
59 , 0 , 11
60 , 33 , 25
61 , 47 , 20
62 , 52 , 46
63 , 22 , 0
64 , 89 , 23
65 , 28 , 0
66 , 22 , 11
67 , 15 , 24
68 , 0 , 20
69 , 25 , 47
70 , 9 , 18
71 , 25 , 12
72 , 0 , 27
73 , 11 , 0
74 , 16 , 61
75 , 100 , 17
76 , 23 , 33
77 , 0 , 0
78 , 43 , 12
79 , 0 , 29
80 , 33 , 18
81 , 14 , 30
82 , 8 , 20
83 , 11 , 0
84 , 23 , 23
85 , 24 , 0
86 , 24 , 42
87 , 40 , 60
88 , 12 , 38
89 , 39 , 30
90 , 30 , 31
91 , 19 , 26
92 , 24 , 22
93 , 0 , 0
94 , 17 , 12
95 , 0 , 49
96 , 29 , 29
97 , 26 , 22
98 , 32 , 16
99 , 18 , 53
100 , 38 , 36
101 , 23 , 0
102 , 18 , 14
103 , 14 , 14
104 , 19 , 39
105 , 5 , 27
106 , 21 , 31
107 , 23 , 42
108 , 25 , 17
109 , 24 , 24
110 , 40 , 10
111 , 0 , 20
112 , 24 , 44
113 , 14 , 29
114 , 24 , 36
115 , 36 , 28
116 , 0 , 22
117 , 10 , 0
118 , 12 , 82
119 , 44 , 0
120 , 59 , 30
121 , 19 , 41
122 , 16 , 11
123 , 12 , 33
124 , 13 , 50
125 , 0 , 50
126 , 21 , 0
127 , 13 , 54
128 , 0 , 55
129 , 67 , 42
130 , 37 , 10
131 , 25 , 30
132 , 0 , 0
133 , 8 , 20
134 , 31 , 21
135 , 9 , 0
136 , 19 , 35
137 , 7 , 9
138 , 27 , 36
139 , 41 , 51
