line_no, Core 0 lines , Core 1 lines
0 , 25 , 11
1 , 27 , 46
2 , 15 , 0
3 , 43 , 52
4 , 108 , 0
5 , 36 , 97
6 , 69 , 18
7 , 0 , 70
8 , 53 , 81
9 , 76 , 60
10 , 19 , 103
11 , 48 , 70
12 , 17 , 0
13 , 75 , 0
14 , 38 , 78
15 , 42 , 66
16 , 27 , 19
17 , 71 , 14
18 , 10 , 64
19 , 70 , 0
20 , 84 , 0
21 , 20 , 32
22 , 75 , 52
23 , 70 , 0
24 , 92 , 19
25 , 96 , 0
26 , 18 , 43
27 , 0 , 37
28 , 52 , 27
29 , 0 , 55
30 , 71 , 16
31 , 17 , 0
32 , 96 , 49
33 , 14 , 16
34 , 0 , 35
35 , 64 , 59
36 , 55 , 63
37 , 0 , 8
38 , 0 , 0
39 , 50 , 53
40 , 0 , 0
41 , 21 , 17
42 , 30 , 11
43 , 127 , 37
44 , 87 , 54
45 , 97 , 32
46 , 70 , 56
47 , 90 , 47
48 , 70 , 36
49 , 101 , 59
50 , 27 , 32
51 , 125 , 46
52 , 47 , 96
53 , 26 , 15
54 , 17 , 100
55 , 29 , 22
56 , 64 , 36
57 , 48 , 72
58 , 11 , 8
59 , 0 , 24
60 , 69 , 70
61 , 78 , 41
62 , 98 , 117
63 , 54 , 0
64 , 149 , 38
65 , 68 , 0
66 , 70 , 26
67 , 10 , 46
68 , 0 , 55
69 , 31 , 86
70 , 22 , 45
71 , 39 , 11
72 , 0 , 25
73 , 5 , 0
74 , 62 , 158
75 , 182 , 10
76 , 37 , 63
77 , 0 , 0
78 , 52 , 28
79 , 0 , 30
80 , 70 , 46
81 , 26 , 48
82 , 34 , 25
83 , 17 , 0
84 , 54 , 38
85 , 48 , 0
86 , 49 , 79
87 , 74 , 80
88 , 9 , 73
89 , 44 , 48
90 , 58 , 43
91 , 22 , 38
92 , 41 , 51
93 , 0 , 0
94 , 15 , 8
95 , 0 , 76
96 , 36 , 38
97 , 53 , 30
98 , 53 , 42
99 , 49 , 85
100 , 57 , 55
101 , 36 , 0
102 , 29 , 21
103 , 26 , 12
104 , 43 , 49
105 , 28 , 63
106 , 22 , 47
107 , 37 , 78
108 , 52 , 17
109 , 44 , 31
110 , 52 , 10
111 , 0 , 38
112 , 40 , 68
113 , 22 , 43
114 , 48 , 67
115 , 64 , 41
116 , 0 , 57
117 , 25 , 0
118 , 21 , 182
119 , 94 , 0
120 , 107 , 118
121 , 52 , 100
122 , 9 , 16
123 , 14 , 82
124 , 22 , 55
125 , 0 , 79
126 , 28 , 0
127 , 15 , 82
128 , 0 , 92
129 , 68 , 55
130 , 51 , 18
131 , 40 , 55
132 , 0 , 0
133 , 26 , 41
134 , 53 , 24
135 , 23 , 0
136 , 46 , 50
137 , 19 , 3
138 , 36 , 48
139 , 74 , 88
140 , 86 , 61
141 , 0 , 54
142 , 10 , 95
143 , 24 , 42
144 , 79 , 29
145 , 14 , 61
146 , 0 , 104
147 , 25 , 24
148 , 0 , 0
149 , 148 , 0
150 , 13 , 21
151 , 16 , 23
152 , 0 , 91
153 , 63 , 42
154 , 18 , 34
155 , 0 , 0
156 , 26 , 56
157 , 25 , 92
158 , 10 , 90
159 , 39 , 104
160 , 82 , 0
161 , 53 , 100
162 , 73 , 101
163 , 64 , 8
164 , 50 , 46
165 , 20 , 36
166 , 30 , 38
167 , 76 , 93
168 , 30 , 68
169 , 0 , 141
170 , 48 , 0
171 , 0 , 37
172 , 53 , 14
173 , 41 , 81
174 , 83 , 41
175 , 54 , 60
176 , 112 , 71
177 , 78 , 124
178 , 71 , 63
179 , 0 , 85
180 , 0 , 165
181 , 72 , 0
182 , 29 , 39
183 , 21 , 137
184 , 22 , 143
185 , 29 , 45
186 , 51 , 50
187 , 38 , 104
188 , 0 , 21
189 , 100 , 0
190 , 24 , 0
191 , 60 , 70
192 , 19 , 23
193 , 15 , 88
194 , 36 , 29
195 , 43 , 37
196 , 74 , 28
197 , 20 , 55
198 , 55 , 31
199 , 41 , 23
200 , 30 , 65
201 , 0 , 0
202 , 36 , 35
203 , 67 , 15
204 , 0 , 47
205 , 38 , 0
206 , 36 , 104
207 , 0 , 6
208 , 25 , 77
209 , 31 , 102
210 , 53 , 82
211 , 61 , 92
212 , 114 , 33
213 , 11 , 38
214 , 23 , 58
215 , 91 , 0
216 , 27 , 0
217 , 0 , 15
218 , 0 , 0
219 , 19 , 53
220 , 98 , 0
221 , 0 , 0
222 , 55 , 62
223 , 39 , 18
224 , 34 , 73
225 , 0 , 0
226 , 66 , 0
227 , 105 , 38
228 , 0 , 50
229 , 28 , 52
230 , 50 , 67
231 , 31 , 6
232 , 0 , 133
233 , 44 , 0
234 , 75 , 66
235 , 13 , 68
236 , 56 , 74
237 , 0 , 64
238 , 19 , 49
239 , 39 , 94
240 , 86 , 78
241 , 25 , 29
242 , 31 , 43
243 , 70 , 30
244 , 0 , 69
245 , 134 , 29
246 , 0 , 26
247 , 16 , 27
248 , 49 , 15
249 , 38 , 73
250 , 12 , 17
251 , 0 , 81
252 , 14 , 8
253 , 52 , 0
254 , 131 , 47
255 , 45 , 0
256 , 0 , 20
257 , 120 , 74
258 , 58 , 0
259 , 32 , 95
260 , 124 , 75
261 , 17 , 15
262 , 0 , 51
263 , 21 , 22
264 , 23 , 125
265 , 14 , 51
266 , 36 , 36
267 , 0 , 13
268 , 36 , 54
269 , 25 , 55
270 , 0 , 0
271 , 69 , 67
272 , 21 , 45
273 , 55 , 0
274 , 0 , 0
275 , 22 , 32
276 , 91 , 0
277 , 49 , 40
278 , 0 , 0
279 , 25 , 37
280 , 67 , 37
281 , 53 , 36
282 , 94 , 6
283 , 57 , 55
284 , 97 , 99
285 , 0 , 45
286 , 97 , 28
287 , 17 , 62
288 , 78 , 0
289 , 93 , 89
290 , 65 , 36
291 , 45 , 56
292 , 80 , 36
293 , 150 , 40
294 , 42 , 39
295 , 48 , 14
296 , 46 , 49
297 , 69 , 16
298 , 55 , 45
299 , 26 , 37
300 , 47 , 30
301 , 0 , 0
302 , 42 , 0
303 , 15 , 40
304 , 22 , 14
305 , 49 , 15
306 , 20 , 8
307 , 42 , 20
308 , 18 , 53
309 , 47 , 18
310 , 39 , 8
311 , 121 , 49
312 , 20 , 172
313 , 0 , 41
314 , 37 , 60
315 , 104 , 44
316 , 35 , 38
317 , 49 , 39
318 , 35 , 59
319 , 62 , 50
320 , 0 , 105
321 , 72 , 0
322 , 36 , 122
323 , 20 , 23
324 , 175 , 88
325 , 28 , 0
326 , 0 , 0
327 , 83 , 10
328 , 51 , 0
329 , 0 , 43
330 , 0 , 40
331 , 43 , 104
332 , 54 , 35
333 , 47 , 44
334 , 0 , 15
335 , 0 , 42
336 , 9 , 22
337 , 18 , 57
338 , 82 , 15
339 , 0 , 0
340 , 0 , 31
341 , 36 , 0
342 , 60 , 79
343 , 0 , 22
344 , 63 , 0
345 , 0 , 134
346 , 20 , 94
347 , 59 , 23
348 , 34 , 26
349 , 80 , 0
350 , 64 , 79
351 , 23 , 126
352 , 22 , 70
353 , 20 , 0
354 , 0 , 42
355 , 79 , 67
356 , 47 , 26
357 , 19 , 83
358 , 59 , 68
359 , 0 , 0
360 , 24 , 20
361 , 7 , 13
362 , 0 , 92
363 , 41 , 26
364 , 27 , 15
365 , 28 , 43
366 , 15 , 25
367 , 65 , 23
368 , 54 , 42
369 , 35 , 36
370 , 54 , 105
371 , 0 , 28
372 , 0 , 62
373 , 24 , 28
374 , 128 , 27
375 , 9 , 0
376 , 10 , 0
377 , 37 , 77
378 , 0 , 34
379 , 37 , 97
380 , 66 , 88
381 , 0 , 38
382 , 0 , 0
383 , 13 , 46
384 , 18 , 0
385 , 12 , 65
386 , 0 , 69
387 , 136 , 74
388 , 43 , 65
389 , 78 , 58
390 , 0 , 16
391 , 0 , 0
392 , 0 , 64
393 , 51 , 73
394 , 31 , 65
395 , 56 , 67
396 , 22 , 35
397 , 28 , 0
398 , 34 , 45
399 , 116 , 0
400 , 74 , 33
401 , 0 , 62
402 , 69 , 54
403 , 69 , 80
404 , 35 , 41
405 , 38 , 112
406 , 131 , 44
407 , 58 , 60
408 , 51 , 51
409 , 69 , 45
410 , 58 , 34
411 , 87 , 66
412 , 42 , 0
413 , 53 , 101
414 , 31 , 60
415 , 23 , 20
416 , 51 , 45
417 , 57 , 136
418 , 106 , 92
419 , 65 , 26
420 , 46 , 90
421 , 0 , 12
422 , 35 , 57
423 , 109 , 0
424 , 40 , 116
425 , 47 , 45
426 , 0 , 84
427 , 74 , 150
428 , 39 , 84
429 , 78 , 47
430 , 0 , 31
431 , 0 , 22
432 , 21 , 35
433 , 34 , 73
434 , 80 , 0
435 , 60 , 50
436 , 55 , 0
437 , 0 , 0
438 , 67 , 62
439 , 0 , 31
440 , 0 , 90
441 , 58 , 57
442 , 19 , 30
443 , 17 , 48
444 , 0 , 53
445 , 107 , 0
446 , 37 , 0
447 , 20 , 0
448 , 22 , 88
449 , 60 , 38
450 , 74 , 38
451 , 41 , 24
452 , 40 , 0
453 , 39 , 77
454 , 0 , 35
455 , 125 , 20
456 , 0 , 12
457 , 106 , 113
458 , 13 , 92
459 , 77 , 16
460 , 36 , 32
461 , 0 , 0
462 , 73 , 18
463 , 15 , 42
464 , 107 , 62
465 , 27 , 45
466 , 9 , 94
467 , 70 , 30
468 , 60 , 49
469 , 10 , 50
470 , 71 , 20
471 , 16 , 0
472 , 64 , 27
473 , 27 , 8
474 , 161 , 87
475 , 41 , 0
476 , 29 , 40
477 , 102 , 118
478 , 16 , 0
479 , 51 , 19
480 , 16 , 17
481 , 138 , 53
482 , 14 , 71
483 , 37 , 45
484 , 87 , 116
485 , 53 , 44
486 , 66 , 89
487 , 33 , 0
488 , 27 , 48
489 , 38 , 22
490 , 13 , 54
491 , 53 , 0
492 , 25 , 11
493 , 30 , 36
494 , 95 , 19
495 , 38 , 51
496 , 193 , 32
497 , 25 , 30
498 , 78 , 9
499 , 41 , 6
500 , 0 , 93
501 , 47 , 129
502 , 33 , 23
503 , 36 , 0
504 , 80 , 24
505 , 41 , 42
506 , 33 , 0
507 , 51 , 12
508 , 60 , 110
509 , 0 , 119
510 , 13 , 17
511 , 0 , 50
512 , 49 , 49
513 , 11 , 109
514 , 26 , 30
515 , 2 , 15
516 , 80 , 58
517 , 83 , 47
518 , 45 , 16
519 , 0 , 79
520 , 96 , 68
521 , 0 , 110
522 , 108 , 67
523 , 34 , 35
524 , 76 , 47
525 , 96 , 0
526 , 30 , 95
527 , 26 , 131
528 , 72 , 35
529 , 0 , 136
530 , 46 , 0
531 , 69 , 48
532 , 90 , 164
533 , 0 , 53
534 , 80 , 53
535 , 29 , 72
536 , 77 , 95
537 , 0 , 0
538 , 120 , 0
539 , 13 , 17
540 , 0 , 28
541 , 0 , 39
542 , 34 , 106
543 , 50 , 0
544 , 86 , 128
545 , 0 , 28
546 , 123 , 45
547 , 0 , 32
548 , 40 , 25
549 , 152 , 0
550 , 121 , 77
551 , 0 , 108
552 , 25 , 22
553 , 34 , 60
554 , 32 , 14
555 , 24 , 72
556 , 18 , 41
557 , 125 , 0
558 , 19 , 114
559 , 42 , 28
560 , 71 , 65
561 , 54 , 50
562 , 11 , 47
563 , 54 , 58
564 , 0 , 69
565 , 68 , 48
566 , 0 , 39
567 , 0 , 87
568 , 70 , 0
569 , 73 , 46
570 , 24 , 54
571 , 21 , 27
572 , 22 , 7
573 , 43 , 45
574 , 43 , 139
575 , 55 , 53
576 , 55 , 10
577 , 19 , 36
578 , 34 , 25
579 , 36 , 22
580 , 31 , 46
581 , 0 , 0
582 , 112 , 12
583 , 43 , 33
584 , 45 , 0
585 , 43 , 0
586 , 59 , 74
587 , 24 , 25
588 , 17 , 67
589 , 89 , 90
590 , 40 , 60
591 , 76 , 0
592 , 6 , 66
593 , 26 , 39
594 , 22 , 13
595 , 120 , 53
596 , 86 , 76
597 , 24 , 75
598 , 13 , 49
599 , 83 , 49
600 , 59 , 24
601 , 85 , 26
602 , 79 , 69
603 , 29 , 65
604 , 26 , 23
605 , 57 , 36
606 , 93 , 69
607 , 0 , 16
608 , 81 , 21
609 , 102 , 0
610 , 64 , 11
611 , 29 , 101
612 , 0 , 36
613 , 30 , 58
614 , 83 , 55
615 , 0 , 96
616 , 14 , 145
617 , 0 , 0
618 , 55 , 38
619 , 0 , 11
620 , 0 , 0
621 , 0 , 36
622 , 50 , 80
623 , 92 , 51
624 , 20 , 0
